model_name,checkpoint_path,threshold_kind,target_precision,confidence_threshold,category_id,category_name,predicted_probability,accepted_probability,accepted_distribution
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,52,"Kitchenware, cookware, and tableware",0.0234,0.0185,0.021652621722846443
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,53,Home appliances,0.0099,0.008,0.009363295880149813
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,54,"Electronics, audio, and office devices",0.0367,0.0304,0.035580524344569285
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,55,Cameras and optics,0.0063,0.0056,0.006554307116104869
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,56,"Tools, hardware, and fasteners",0.0341,0.0252,0.02949438202247191
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,57,"Weapons, armor, and protective gear",0.0104,0.0084,0.009831460674157303
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,58,"Sports, games, and exercise equipment",0.0237,0.0201,0.023525280898876403
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,59,"Medical, lab, and safety equipment",0.0071,0.0042,0.0049157303370786515
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,60,Public fixtures and signage,0.0193,0.0157,0.018375468164794007
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,61,"Lighting, heat, and fire objects",0.0078,0.0056,0.006554307116104869
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,62,"Bath, cleaning, and household items",0.0118,0.0088,0.010299625468164793
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,63,Personal care and cosmetics,0.0055,0.004,0.0046816479400749065
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,64,"Containers, bottles, and packaging",0.0266,0.0189,0.02212078651685393
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,65,Prepared foods and drinks,0.0275,0.024,0.028089887640449437
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,66,"Fruits, vegetables, and edible plants",0.0223,0.0205,0.023993445692883895
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,67,Fungi,0.008,0.0077,0.009012172284644194
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,68,Landscapes and geology,0.0147,0.0126,0.014747191011235955
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,69,People and roles,0.0035,0.0029,0.003394194756554307
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,70,"Plants, flowers, and crops",0.0036,0.0035,0.004096441947565543
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,71,"Text, media, and web pages",0.0038,0.0034,0.003979400749063671
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.75,0.6726828217506409,72,Miscellaneous visually distinct objects,0.0644,0.05,0.05852059925093633
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,0,"Fish, sharks, and rays",0.0133,0.0111,0.014839572192513369
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,1,Domestic and large ground birds,0.0025,0.0022,0.0029411764705882353
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,2,Songbirds and small perching birds,0.0112,0.0103,0.013770053475935828
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,3,"Raptors, carrion birds, and owls",0.0043,0.004,0.0053475935828877
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,4,Amphibians,0.008,0.0076,0.010160427807486631
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,5,Turtles,0.0038,0.0036,0.004812834224598931
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,6,"Lizards, crocodilians, and large reptiles",0.0129,0.012,0.016042780748663103
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,7,Snakes,0.0156,0.0146,0.019518716577540108
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,8,Arachnids and many-legged invertebrates,0.0118,0.0101,0.013502673796791443
